msme_id,business_name,industry_type,business_age_years,state,udyam_registered,gst_filing_months,avg_monthly_turnover,gst_compliance_score,turnover_growth_rate,avg_monthly_upi_inflow,upi_transaction_consistency,num_unique_buyers,peak_to_offpeak_ratio,loan_amount_requested,loan_purpose,existing_loans,collateral_available,credit_score,credit_label,filed_months,total_months,gst_filing_pct,avg_monthly_balance_lakhs,total_bounces,low_balance_days_pct
MSME000707,Kumar Setty Solutions,Textile,16,Bihar,1,12,1058887.89,79.47,27.16,697898.73,0.654,168,4.74,10599548.66,Machinery,1,0,79.71,Approve,12,12,100.0,1.59,11,8.2
MSME000708,Global Tiwari Manufacturing,Food & Beverage,13,Bihar,0,10,515657.03,63.18,55.87,233867.83,0.289,60,4.33,1522825.0,Inventory,0,1,63.65,Review,10,12,83.33,0.77,11,14.7
MSME000709,"Sani, Chaudhary and Contractor",Textile,4,Delhi,1,12,2575748.19,65.66,17.01,1211649.0,0.987,165,2.46,29814350.58,Working Capital,0,0,73.79,Approve,12,12,100.0,3.86,8,13.7
MSME000710,"Kale, Sani and Seth",Retail,2,Rajasthan,1,12,88851.95,63.26,10.1,35141.49,0.662,161,4.3,304475.93,Inventory,0,1,71.5,Approve,12,12,100.0,0.13,10,14.7
MSME000711,Sharma Kari Solutions,Services,9,Andhra Pradesh,0,8,1383967.29,58.29,-18.35,894708.81,1.0,47,1.72,11922138.41,Inventory,0,1,60.46,Review,8,12,66.67,2.08,6,16.7
MSME000712,Nori-Setty,Food & Beverage,18,Andhra Pradesh,1,12,623430.54,90.26,5.99,362556.78,0.634,288,3.19,3180102.69,Expansion,0,0,83.82,Approve,12,12,100.0,0.94,6,3.9
MSME000713,Global Rastogi Exports,Textile,17,West Bengal,1,10,100354.09,68.43,24.45,37881.27,1.0,102,4.27,968625.31,Expansion,1,1,80.94,Approve,10,12,83.33,0.15,5,12.6
MSME000714,Singh Sagar Manufacturing,Services,8,Telangana,0,11,2152012.86,70.28,49.35,1312803.46,0.607,38,2.16,7606531.9,Machinery,0,1,61.01,Review,11,12,91.67,3.23,12,11.9
MSME000715,Patel Chandran Traders,Manufacturing,15,Bihar,1,12,1346879.58,90.78,-19.36,739874.39,1.0,110,1.19,8754664.76,Working Capital,0,0,91.54,Approve,12,12,100.0,2.02,8,3.7
MSME000716,Shri Munshi Solutions,Manufacturing,9,Delhi,1,8,1580853.23,55.93,-7.44,547441.53,0.908,128,2.38,10084112.69,Machinery,0,1,68.47,Review,8,12,66.67,2.37,5,17.6
MSME000717,Shri Sane Corporation,Services,17,Maharashtra,1,12,368772.29,77.63,-32.11,286481.39,0.683,78,1.77,1293350.21,Working Capital,1,1,83.15,Approve,12,12,100.0,0.55,5,8.9
MSME000718,Kumer-Prasad,Retail,2,Gujarat,1,11,1104725.22,50.55,90.1,792505.44,0.669,226,3.78,3965866.36,Machinery,0,0,57.16,Review,11,12,91.67,1.66,9,19.8
MSME000719,Singh Dua Industries,Services,6,Uttar Pradesh,1,12,220840.13,64.64,19.03,74094.53,1.0,17,1.52,1943194.46,Machinery,0,1,70.56,Approve,12,12,100.0,0.33,10,14.1
MSME000720,Kumar Som Exports,Services,5,Uttar Pradesh,0,7,105642.93,51.72,4.17,80883.82,1.0,40,2.01,856438.62,Machinery,1,0,48.13,Review,7,12,58.33,0.16,5,19.3
MSME000721,Chand Inc,Food & Beverage,17,Telangana,1,9,391982.74,68.22,-29.92,297255.77,1.0,109,4.07,1504593.38,Working Capital,1,0,72.01,Approve,9,12,75.0,0.59,11,12.7
MSME000722,Sankaran Inc,Manufacturing,2,Kerala,0,11,1491773.35,65.12,22.43,478995.76,0.806,58,2.13,12512486.07,Expansion,0,1,58.57,Review,11,12,91.67,2.24,9,14.0
MSME000723,"Pradhan, De and Bhasin",Manufacturing,18,Madhya Pradesh,1,8,2243114.44,76.73,4.9,898904.5,1.0,34,1.24,28746070.18,Expansion,0,0,80.84,Approve,8,12,66.67,3.36,5,9.3
MSME000724,"Narayan, Das and Roy",Textile,10,Delhi,1,12,689135.5,74.14,-29.83,448767.93,1.0,59,2.07,7176357.78,Machinery,0,1,86.08,Approve,12,12,100.0,1.03,11,10.3
MSME000725,Shri Pandya Solutions,Services,10,Delhi,0,7,579871.63,50.18,7.81,444927.84,0.892,11,1.31,3293683.12,Machinery,1,0,54.46,Review,7,12,58.33,0.87,8,19.9
MSME000726,"Sampath, Behl and Mani",Services,6,Uttar Pradesh,0,7,1793188.93,50.12,45.63,1275956.78,1.0,65,1.34,14443987.29,Machinery,0,1,52.05,Review,7,12,58.33,2.69,7,20.0
MSME000727,Singh Muni Corporation,Retail,12,Punjab,1,12,296344.01,84.21,8.49,130672.57,0.978,241,2.12,1604590.71,Expansion,1,0,83.29,Approve,12,12,100.0,0.44,12,6.3
MSME000728,Shri Pandey Traders,Manufacturing,17,Uttar Pradesh,0,6,338038.73,51.79,44.41,107063.38,0.892,90,1.19,5376843.91,Working Capital,1,1,58.99,Review,6,12,50.0,0.51,5,19.3
MSME000729,Tripathi and Sons,Retail,13,Tamil Nadu,1,12,3084458.2,88.57,53.92,1654638.19,1.0,499,3.69,18948395.54,Machinery,1,0,84.08,Approve,12,12,100.0,4.63,10,4.6
MSME000730,Sharma Dubey Manufacturing,Food & Beverage,20,Uttar Pradesh,1,8,285308.35,76.25,8.29,98711.23,1.0,75,2.64,1833859.9,Working Capital,1,0,80.7,Approve,8,12,66.67,0.43,8,9.5
MSME000731,Sharma Subramaniam Solutions,Textile,16,Rajasthan,0,6,1727699.05,56.96,12.77,730208.75,0.949,35,2.29,18289181.67,Machinery,1,1,61.52,Review,6,12,50.0,2.59,9,17.2
MSME000732,Chokshi LLC,Retail,10,Haryana,1,11,2261539.76,70.95,27.54,1402264.4,1.0,323,4.4,6458201.79,Machinery,0,0,80.16,Approve,11,12,91.67,3.39,8,11.6
MSME000733,Sri Pillai Solutions,Manufacturing,2,Uttar Pradesh,1,8,853817.14,44.05,60.85,467472.97,0.864,108,2.31,7180341.05,Working Capital,0,0,55.49,Review,8,12,66.67,1.28,9,22.4
MSME000734,Mallick PLC,Food & Beverage,2,Haryana,1,8,546484.85,44.59,75.84,266881.14,0.616,297,3.34,2704521.96,Working Capital,0,1,46.8,Review,8,12,66.67,0.82,11,22.2
MSME000735,Patel Kara Industries,Services,7,Punjab,1,8,4591357.61,55.75,52.96,3512302.09,0.511,83,1.88,16737599.16,Expansion,0,1,58.48,Review,8,12,66.67,6.89,8,17.7
MSME000736,Kumar Sanghvi Exports,Food & Beverage,6,Delhi,1,12,82873.68,60.2,-3.34,32858.01,0.909,120,3.26,345704.16,Working Capital,0,0,73.01,Approve,12,12,100.0,0.12,5,15.9
MSME000737,Patel Bal Industries,Retail,1,Tamil Nadu,1,12,90226.83,55.01,77.05,49059.86,0.353,454,2.84,551638.03,Working Capital,0,0,47.8,Review,12,12,100.0,0.14,10,18.0
MSME000738,Shri Loke Manufacturing,Manufacturing,12,Maharashtra,1,12,1765795.03,72.54,27.86,1036075.98,0.822,78,2.37,12371469.4,Expansion,1,1,76.3,Approve,12,12,100.0,2.65,6,11.0
MSME000739,Sharma Balakrishnan Exports,Retail,13,Delhi,1,12,270896.83,77.65,1.95,124875.59,0.97,394,2.03,1324310.87,Working Capital,1,0,86.63,Approve,12,12,100.0,0.41,10,8.9
MSME000740,Sri Gole Enterprises,Services,12,Uttar Pradesh,1,11,1492727.87,71.25,-13.6,974226.93,1.0,11,2.5,5260139.99,Working Capital,0,0,81.81,Approve,11,12,91.67,2.24,8,11.5
MSME000741,Sri Mahajan Exports,Services,19,Andhra Pradesh,1,11,496137.63,88.78,-4.96,363986.08,1.0,20,2.22,1664887.52,Working Capital,1,0,90.26,Approve,11,12,91.67,0.74,6,4.5
MSME000742,Kumar More Exports,Manufacturing,9,Uttar Pradesh,1,9,1802691.83,56.18,24.11,1028867.37,0.722,123,1.38,15156431.33,Inventory,0,0,56.45,Review,9,12,75.0,2.7,6,17.5
MSME000743,Panchal-Ahuja,Textile,10,Andhra Pradesh,0,12,199707.89,66.14,2.72,137931.94,0.881,176,3.98,1905701.4,Working Capital,0,1,65.88,Review,12,12,100.0,0.3,7,13.5
MSME000744,Dhar PLC,Food & Beverage,17,Uttar Pradesh,0,12,831000.72,76.61,24.06,274629.8,1.0,84,3.95,4285261.88,Inventory,1,0,65.99,Review,12,12,100.0,1.25,12,9.4
MSME000745,Global Rattan Exports,Food & Beverage,18,Tamil Nadu,0,11,218268.46,73.06,-13.18,82263.48,0.92,244,2.89,1259423.14,Machinery,1,0,77.67,Approve,11,12,91.67,0.33,6,10.8
MSME000746,Singh Boase Solutions,Services,8,Bihar,1,12,1259969.95,62.76,-3.84,669060.13,0.825,25,2.13,6958412.06,Working Capital,0,0,71.94,Approve,12,12,100.0,1.89,6,14.9
MSME000747,Shri Dhar Solutions,Retail,7,Gujarat,1,11,7553456.15,73.51,12.75,5744478.39,0.942,445,3.49,41674552.46,Expansion,0,0,73.15,Approve,11,12,91.67,11.33,8,10.6
MSME000748,"Balasubramanian, Chand and Wali",Retail,9,Bihar,1,11,168486.13,73.28,10.7,95328.73,1.0,125,2.39,826331.18,Working Capital,1,0,70.08,Approve,11,12,91.67,0.25,7,10.7
MSME000749,Sri Kale Corporation,Textile,10,Tamil Nadu,0,11,376042.99,80.75,-16.92,194094.99,1.0,167,3.12,2472842.47,Machinery,0,0,65.25,Review,11,12,91.67,0.56,12,7.7
MSME000750,Saini-Setty,Retail,12,Karnataka,1,9,379537.61,55.91,-0.73,227742.98,1.0,319,2.36,813959.57,Machinery,1,0,71.39,Approve,9,12,75.0,0.57,8,17.6
MSME000751,Shri Om Manufacturing,Food & Beverage,15,Rajasthan,0,6,586507.51,64.48,-28.6,212452.31,0.812,222,2.17,4147985.61,Expansion,1,0,53.55,Review,6,12,50.0,0.88,6,14.2
MSME000752,Sharma Dugar Services,Retail,15,West Bengal,0,8,28293.28,69.75,16.66,17735.37,1.0,334,2.17,218247.29,Working Capital,0,0,72.18,Approve,8,12,66.67,0.04,12,12.1
MSME000753,Muni-Nair,Textile,4,Punjab,1,9,598541.54,56.31,79.79,207700.24,0.846,185,3.3,4650045.95,Working Capital,0,1,58.89,Review,9,12,75.0,0.9,7,17.5
MSME000754,Global Chad Industries,Food & Beverage,4,Rajasthan,1,12,306342.77,63.13,-6.23,180251.06,0.826,275,4.19,1434116.55,Expansion,0,1,70.32,Approve,12,12,100.0,0.46,8,14.7
MSME000755,Dugal and Sons,Retail,1,Madhya Pradesh,1,12,343268.9,59.03,-13.25,225594.61,0.508,285,4.95,2261153.24,Working Capital,0,0,58.03,Review,12,12,100.0,0.51,9,16.4
MSME000756,Kumar Bawa Corporation,Food & Beverage,12,Uttar Pradesh,1,10,566980.87,76.58,39.57,286752.69,0.968,287,3.71,1177666.72,Machinery,0,0,72.4,Approve,10,12,83.33,0.85,10,9.4
MSME000757,Sharma Bumb Enterprises,Services,2,Punjab,1,9,811961.64,54.77,-21.4,613397.53,0.813,90,2.45,2873190.1,Machinery,1,0,61.38,Review,9,12,75.0,1.22,7,18.1
MSME000758,Global Magar Services,Services,15,Bihar,0,7,797008.84,65.07,40.14,299688.09,0.959,35,2.15,3651576.8,Working Capital,1,0,59.09,Review,7,12,58.33,1.2,5,14.0
MSME000759,Shri Savant Solutions,Services,17,Haryana,1,8,145782.03,59.45,-15.05,56195.95,0.758,61,1.18,456281.01,Machinery,0,1,77.78,Approve,8,12,66.67,0.22,7,16.2
MSME000760,Shri Samra Solutions,Retail,7,Bihar,1,11,327593.44,60.02,6.11,182946.92,0.952,479,2.16,745378.69,Working Capital,1,0,70.87,Approve,11,12,91.67,0.49,10,16.0
MSME000761,Sharma Sunder Services,Textile,6,Andhra Pradesh,1,12,404950.08,78.25,8.97,310121.98,1.0,193,2.79,4636251.66,Working Capital,0,1,70.52,Approve,12,12,100.0,0.61,5,8.7
MSME000762,Global Sathe Traders,Food & Beverage,12,West Bengal,0,7,749672.37,56.25,32.61,371349.68,1.0,170,4.07,2329963.75,Expansion,0,1,62.36,Review,7,12,58.33,1.12,6,17.5
MSME000763,Singh Sachdeva Manufacturing,Manufacturing,19,Maharashtra,0,6,208180.05,69.13,61.81,158883.0,0.793,90,1.52,2313888.08,Inventory,0,1,59.02,Review,6,12,50.0,0.31,10,12.3
MSME000764,Shri Mahajan Services,Services,1,Kerala,0,12,669551.99,59.29,9.51,433024.34,0.554,48,1.77,4379271.76,Working Capital,0,0,48.92,Review,12,12,100.0,1.0,5,16.3
MSME000765,Sri Kale Solutions,Services,14,Delhi,0,8,3659917.42,69.62,14.54,2530018.98,0.868,39,1.36,17004756.63,Working Capital,0,0,61.38,Review,8,12,66.67,5.49,5,12.2
MSME000766,Kumar Vala Industries,Manufacturing,4,Gujarat,1,12,27239.66,58.38,-41.61,20945.54,1.0,28,2.12,320623.44,Inventory,0,1,64.56,Review,12,12,100.0,0.04,11,16.6
MSME000767,Pai Group,Manufacturing,5,Kerala,1,12,541215.93,58.34,13.98,317241.39,0.551,54,1.8,4278558.09,Expansion,0,1,61.5,Review,12,12,100.0,0.81,10,16.7
MSME000768,Mander Ltd,Retail,1,Tamil Nadu,1,12,40872.03,60.82,65.8,25374.44,0.807,267,5.0,193965.11,Working Capital,0,0,72.06,Approve,12,12,100.0,0.06,8,15.7
MSME000769,"Sur, Vyas and Morar",Food & Beverage,1,Karnataka,1,11,398302.91,59.17,111.11,234797.66,0.97,248,4.06,1706543.83,Working Capital,0,1,68.42,Review,11,12,91.67,0.6,9,16.3
MSME000770,Shri Bath Traders,Services,6,Andhra Pradesh,0,11,1446818.94,61.31,6.02,1001819.8,0.537,17,1.63,13499044.76,Expansion,0,0,57.28,Review,11,12,91.67,2.17,5,15.5
MSME000771,Singh Kannan Corporation,Textile,5,Andhra Pradesh,1,9,311535.33,59.32,32.92,136048.46,0.555,56,2.97,3543471.11,Expansion,1,0,53.79,Review,9,12,75.0,0.47,9,16.3
MSME000772,Bhakta-Amble,Retail,2,Telangana,1,10,1344149.57,54.58,65.91,932871.95,0.768,104,4.93,5704882.17,Inventory,0,0,55.54,Review,10,12,83.33,2.02,5,18.2
MSME000773,Global Jayaraman Exports,Retail,5,Rajasthan,1,9,2264822.44,63.57,-20.96,1487473.81,0.832,365,2.88,7885861.7,Expansion,0,1,63.31,Review,9,12,75.0,3.4,12,14.6
MSME000774,Shri Mitra Manufacturing,Textile,9,Kerala,1,12,931446.66,65.2,50.46,559830.26,0.975,189,2.35,8968796.97,Inventory,0,0,73.18,Approve,12,12,100.0,1.4,9,13.9
MSME000775,Sharma Kakar Corporation,Textile,19,Bihar,0,10,310021.44,71.5,-5.17,99019.57,0.854,60,4.78,1809212.97,Machinery,1,0,63.66,Review,10,12,83.33,0.47,7,11.4
MSME000776,Sri Devan Traders,Textile,15,Karnataka,1,12,1094238.66,90.6,21.61,752039.58,0.694,64,2.96,8018684.05,Working Capital,0,0,86.38,Approve,12,12,100.0,1.64,11,3.8
MSME000777,Shri Kumer Traders,Manufacturing,13,Uttar Pradesh,0,11,4987942.29,78.72,-16.57,1826649.19,1.0,126,2.49,52499260.6,Working Capital,1,0,72.62,Approve,11,12,91.67,7.48,11,8.5
MSME000778,Patel Mann Manufacturing,Services,12,Tamil Nadu,1,12,107468.53,81.42,5.84,83931.41,0.556,99,2.41,1064159.0,Working Capital,0,0,73.76,Approve,12,12,100.0,0.16,9,7.4
MSME000779,Dar-Amble,Manufacturing,5,Tamil Nadu,1,12,2508637.15,58.05,-27.2,854809.46,1.0,79,1.81,21563962.37,Working Capital,0,1,71.23,Approve,12,12,100.0,3.76,11,16.8
MSME000780,Sani-Gill,Services,2,Delhi,0,9,113054.09,59.25,32.49,74631.28,0.614,48,1.84,630155.69,Machinery,0,1,48.55,Review,9,12,75.0,0.17,10,16.3
MSME000781,Sharma Dayal Corporation,Manufacturing,4,West Bengal,0,8,107406.47,54.77,80.06,51577.97,0.81,131,1.9,517529.26,Machinery,0,1,50.12,Review,8,12,66.67,0.16,7,18.1
MSME000782,Patel Rai Exports,Food & Beverage,18,West Bengal,1,12,90618.67,92.29,15.82,60519.24,1.0,225,4.65,541683.35,Expansion,0,1,100.0,Approve,12,12,100.0,0.14,7,3.1
MSME000783,Singh Walia Solutions,Services,10,Punjab,1,8,506387.73,66.57,-21.05,283311.96,0.926,74,1.87,1991509.05,Working Capital,0,0,76.24,Approve,8,12,66.67,0.76,6,13.4
MSME000784,Singh Karpe Solutions,Retail,13,Kerala,1,11,2013911.9,76.9,6.54,1238057.61,0.973,273,4.67,11442010.94,Working Capital,1,1,80.86,Approve,11,12,91.67,3.02,11,9.2
MSME000785,"Pandya, Bora and Ranganathan",Services,12,Maharashtra,1,9,47526.11,63.39,20.34,16050.44,0.264,66,2.27,205069.66,Machinery,1,1,72.57,Approve,9,12,75.0,0.07,12,14.6
MSME000786,Sri Basak Solutions,Services,2,Punjab,0,11,1740651.02,58.45,17.04,1363346.71,0.734,80,2.34,16682003.78,Inventory,0,1,53.02,Review,11,12,91.67,2.61,11,16.6
MSME000787,Bahl-Sharaf,Services,15,West Bengal,1,10,441792.71,79.71,31.97,133387.49,1.0,96,2.39,1371513.32,Machinery,1,0,71.46,Approve,10,12,83.33,0.66,6,8.1
MSME000788,Singh Brahmbhatt Industries,Food & Beverage,14,West Bengal,0,8,105997.8,69.71,65.39,81679.76,0.971,62,2.87,803321.28,Working Capital,0,1,71.19,Approve,8,12,66.67,0.16,8,12.1
MSME000789,Singh Munshi Manufacturing,Manufacturing,10,Uttar Pradesh,0,11,1349650.67,73.03,13.53,788364.83,1.0,46,1.41,14318405.7,Working Capital,1,1,66.71,Review,11,12,91.67,2.02,12,10.8
MSME000790,Kumar Sanghvi Traders,Retail,8,Uttar Pradesh,1,8,250246.67,49.69,11.74,107389.62,1.0,344,3.65,1907577.81,Inventory,1,0,62.43,Review,8,12,66.67,0.38,12,20.1
MSME000791,"Ravel, Sahni and Mann",Manufacturing,15,Madhya Pradesh,1,12,9980547.81,88.88,-3.03,6176600.59,0.681,98,1.83,98984299.72,Expansion,1,0,71.2,Approve,12,12,100.0,14.97,11,4.4
MSME000792,Kumar Contractor Corporation,Manufacturing,13,Madhya Pradesh,1,12,1206965.17,82.44,40.75,768171.25,0.816,49,1.49,5480293.11,Working Capital,0,0,79.45,Approve,12,12,100.0,1.81,12,7.0
MSME000793,Patel Ravel Services,Textile,8,Karnataka,1,12,615081.06,66.43,62.77,409130.9,0.817,152,2.14,2940532.65,Working Capital,0,0,78.54,Approve,12,12,100.0,0.92,5,13.4
MSME000794,Nair and Sons,Food & Beverage,14,Tamil Nadu,1,12,866746.65,80.61,10.25,267147.68,0.752,87,4.32,3560950.65,Machinery,0,0,74.79,Approve,12,12,100.0,1.3,5,7.8
MSME000795,Singh Sharma Exports,Textile,1,Tamil Nadu,1,10,2883721.76,63.11,32.05,2282152.03,0.58,46,3.58,32985047.19,Expansion,0,1,61.44,Review,10,12,83.33,4.33,12,14.8
MSME000796,Shri Pathak Solutions,Food & Beverage,13,Madhya Pradesh,0,6,2243696.5,51.07,19.07,1366313.49,1.0,126,2.94,14709405.28,Working Capital,0,1,60.6,Review,6,12,50.0,3.37,11,19.6
MSME000797,Shri Chakrabarti Services,Manufacturing,8,Tamil Nadu,1,12,2021017.03,64.33,-4.21,987808.65,0.882,81,1.35,22675015.05,Machinery,1,1,73.82,Approve,12,12,100.0,3.03,6,14.3
MSME000798,Sharma Sarkar Corporation,Manufacturing,18,Karnataka,0,6,3462926.37,52.43,33.32,2026938.04,1.0,117,1.42,32121001.63,Machinery,1,0,62.45,Review,6,12,50.0,5.19,6,19.0
MSME000799,Sharma Cherian Solutions,Food & Beverage,9,Telangana,1,12,1687160.44,67.19,13.99,656661.25,1.0,180,3.27,7897846.74,Working Capital,1,0,76.44,Approve,12,12,100.0,2.53,11,13.1
MSME000800,Sharma Kohli Exports,Manufacturing,13,Uttar Pradesh,0,7,1976057.78,52.41,20.68,837123.83,1.0,46,1.2,23379455.78,Machinery,1,1,56.28,Review,7,12,58.33,2.96,8,19.0
MSME000801,Singh Sarin Industries,Manufacturing,3,Karnataka,0,6,413447.29,46.66,58.72,141766.84,1.0,47,1.26,5227389.79,Working Capital,0,0,35.43,Reject,6,12,50.0,0.62,11,21.3
MSME000802,"Rattan, Viswanathan and Brar",Retail,18,Tamil Nadu,1,11,2000054.4,75.96,6.83,1479273.88,0.89,282,3.7,9729173.3,Expansion,0,0,78.2,Approve,11,12,91.67,3.0,9,9.6
MSME000803,Sri Randhawa Enterprises,Textile,10,Kerala,0,8,343862.27,65.59,17.34,146416.57,1.0,79,4.44,3501921.45,Working Capital,1,1,57.63,Review,8,12,66.67,0.52,5,13.8
MSME000804,Kumar Mukherjee Corporation,Textile,5,Uttar Pradesh,1,11,789099.8,55.07,-3.14,528582.63,0.739,147,4.03,6091858.41,Working Capital,0,0,62.34,Review,11,12,91.67,1.18,6,18.0
MSME000805,"Nori, Kant and Nath",Textile,6,Gujarat,0,12,366214.47,77.13,-12.29,160072.1,0.799,194,4.6,2795444.97,Expansion,0,1,71.09,Approve,12,12,100.0,0.55,11,9.1
MSME000806,Singh Ganguly Exports,Services,8,West Bengal,0,6,1191947.79,42.13,18.03,444589.76,1.0,57,2.24,8776534.0,Machinery,0,0,46.87,Review,6,12,50.0,1.79,7,23.1
MSME000807,Global Bose Services,Retail,7,Uttar Pradesh,1,8,2054360.61,56.06,20.19,727381.78,0.679,363,2.32,13898072.28,Expansion,0,1,62.87,Review,8,12,66.67,3.08,6,17.6
MSME000808,"Comar, Wali and Uppal",Textile,18,Bihar,1,11,352965.56,76.03,38.08,257707.98,1.0,107,2.45,2955454.74,Expansion,0,1,99.0,Approve,11,12,91.67,0.53,10,9.6
MSME000809,Sharma Hari Manufacturing,Textile,14,Uttar Pradesh,1,9,105692.34,66.3,-4.08,38035.33,0.805,124,3.17,1194907.69,Working Capital,0,0,60.94,Review,9,12,75.0,0.16,9,13.5
MSME000810,Patel Palla Industries,Retail,15,Haryana,1,8,1487557.59,57.55,-11.25,511086.99,0.741,176,2.85,10799004.22,Working Capital,1,0,65.97,Review,8,12,66.67,2.23,9,17.0
MSME000811,Sri Panchal Enterprises,Manufacturing,10,Tamil Nadu,0,9,2299457.97,64.09,59.44,700592.86,0.794,113,2.39,30441772.62,Expansion,0,0,61.26,Review,9,12,75.0,3.45,10,14.4
MSME000812,Kumar Divan Solutions,Textile,12,Punjab,0,9,3759220.38,62.42,18.28,1816530.56,0.947,77,3.88,26916566.6,Working Capital,1,0,59.59,Review,9,12,75.0,5.64,9,15.0
MSME000813,Sharma Keer Solutions,Manufacturing,7,Rajasthan,1,10,1939878.75,69.21,-19.43,1496313.05,0.931,88,2.31,22024864.33,Machinery,0,1,73.65,Approve,10,12,83.33,2.91,9,12.3
MSME000814,Kumar Chauhan Corporation,Textile,7,Telangana,0,7,1728437.74,43.3,13.61,1303803.68,0.964,89,3.93,13066607.2,Expansion,0,0,42.86,Reject,7,12,58.33,2.59,6,22.7
MSME000815,Singh Dhingra Corporation,Food & Beverage,11,Uttar Pradesh,0,10,168339.2,63.77,-1.42,60185.7,0.89,154,4.73,342935.89,Working Capital,1,0,64.79,Review,10,12,83.33,0.25,12,14.5
MSME000816,Singh Kunda Exports,Services,13,Karnataka,1,11,1285626.01,68.88,23.96,393719.58,1.0,55,2.08,9605916.41,Working Capital,0,0,74.69,Approve,11,12,91.67,1.93,7,12.4
MSME000817,Global Hora Manufacturing,Textile,15,Maharashtra,1,10,7561329.15,75.44,4.57,5107706.28,0.739,123,3.04,84992233.97,Working Capital,0,1,85.38,Approve,10,12,83.33,11.34,9,9.8
MSME000818,Dua Ltd,Food & Beverage,18,Tamil Nadu,1,12,205058.15,79.23,45.92,92940.28,0.868,200,3.43,1048547.69,Expansion,0,0,92.42,Approve,12,12,100.0,0.31,8,8.3
MSME000819,Goel Ltd,Retail,7,Tamil Nadu,0,8,102582.33,47.62,-17.5,73586.25,0.469,238,2.44,310114.08,Working Capital,0,1,44.76,Reject,8,12,66.67,0.15,6,21.0
MSME000820,Shetty-Sen,Food & Beverage,6,Rajasthan,0,8,471330.32,55.9,46.96,192168.31,0.875,262,2.29,2242045.95,Working Capital,0,0,46.03,Review,8,12,66.67,0.71,5,17.6
MSME000821,"Naidu, Mutti and Dora",Retail,11,Delhi,1,12,1362630.61,67.99,33.58,744138.44,1.0,465,3.23,2750095.2,Machinery,1,0,72.1,Approve,12,12,100.0,2.04,5,12.8
MSME000822,Singh Sarraf Industries,Textile,8,Maharashtra,1,9,745774.57,64.36,23.07,236017.53,0.793,33,4.77,7203415.68,Machinery,0,1,72.46,Approve,9,12,75.0,1.12,7,14.3
MSME000823,Singh Group,Retail,20,Punjab,0,6,3762240.5,57.09,40.86,2811738.33,1.0,458,4.59,22614882.55,Working Capital,1,0,65.11,Review,6,12,50.0,5.64,11,17.2
MSME000824,"Mitter, Maharaj and Bhalla",Food & Beverage,1,Gujarat,0,7,141801.31,42.38,68.08,55159.01,0.824,285,4.03,838035.0,Machinery,0,0,39.22,Reject,7,12,58.33,0.21,6,23.0
MSME000825,Patel Pandey Traders,Services,8,West Bengal,0,10,86133.07,73.62,15.03,38531.76,0.893,88,1.66,495680.18,Working Capital,0,1,63.34,Review,10,12,83.33,0.13,5,10.6
MSME000826,Sri Tripathi Traders,Manufacturing,8,Delhi,1,12,3686787.19,65.48,55.74,1990312.8,0.565,86,1.33,32090545.33,Machinery,1,0,69.41,Review,12,12,100.0,5.53,5,13.8
MSME000827,Mukherjee Group,Manufacturing,19,Kerala,1,9,122508.72,71.22,30.45,53369.02,0.774,75,1.45,890875.07,Working Capital,1,1,87.92,Approve,9,12,75.0,0.18,10,11.5
MSME000828,Barad-Bhandari,Services,3,Bihar,1,8,776744.75,55.8,1.96,248621.8,0.926,24,1.68,7278883.13,Expansion,0,0,44.36,Reject,8,12,66.67,1.17,11,17.7
MSME000829,Kumar Pillay Traders,Manufacturing,5,Madhya Pradesh,1,9,3568479.99,57.53,-18.67,1122440.63,0.708,59,1.97,30065555.04,Machinery,0,0,66.72,Review,9,12,75.0,5.35,9,17.0
MSME000830,Bose-Chana,Textile,3,Uttar Pradesh,0,7,745576.74,43.52,62.78,579765.42,0.629,182,2.44,5958959.41,Inventory,0,0,31.02,Reject,7,12,58.33,1.12,9,22.6
MSME000831,Patel Tripathi Enterprises,Textile,15,Andhra Pradesh,1,9,248915.43,71.25,14.99,115185.16,0.598,197,2.02,1771203.29,Machinery,0,0,72.89,Approve,9,12,75.0,0.37,12,11.5
MSME000832,Global Rajagopalan Traders,Food & Beverage,14,Kerala,0,9,1832859.59,64.41,-29.79,856304.3,0.82,117,3.94,10932707.75,Inventory,0,0,64.97,Review,9,12,75.0,2.75,9,14.2
MSME000833,Singh Shere Manufacturing,Food & Beverage,15,Gujarat,1,11,488736.94,85.44,23.34,372148.74,1.0,53,3.19,3856355.15,Machinery,1,1,89.93,Approve,11,12,91.67,0.73,6,5.8
MSME000834,"Barman, Sengupta and Guha",Retail,17,Karnataka,0,7,339405.72,69.57,8.55,243719.39,1.0,498,2.24,1859782.93,Inventory,0,0,63.94,Review,7,12,58.33,0.51,11,12.2
MSME000835,Soni-Thaker,Food & Beverage,18,Telangana,1,8,2861476.34,73.18,-1.76,1841276.48,0.694,128,2.84,12716709.94,Expansion,1,0,69.83,Review,8,12,66.67,4.29,6,10.7
MSME000836,Shri Dora Industries,Textile,2,Bihar,1,12,366220.04,71.63,60.34,230445.01,0.75,181,3.41,3097062.77,Working Capital,0,0,66.81,Review,12,12,100.0,0.55,9,11.3
